index,question,answer,context(top_k),response_time(s),datetime
68,Có lễ hội nào của người Hoa ở quận 5 không?,"Có, ở Quận 5 (TP Hồ Chí Minh) có lễ hội truyền thống của người Hoa mang tên **Lễ hội Nguyên tiêu** (còn gọi là Tết Nguyên tiêu, Rằm tháng Giêng, Lễ Thượng nguyên, Hội Nguyên tiêu, Lễ hoa đăng, Lễ tình nhân, Hội đèn lồng mùa xuân, Tân niên, Chúc khánh Nguyên tiêu). Lễ hội diễn ra vào đêm rằm tháng Giêng âm lịch, với các hoạt động diễu hành, thắp nhang, rước kiệu, biểu diễn nghệ thuật, múa lân, rồng, và giao lưu giữa các hội quán người Hoa trong quận. Đây là một trong những lễ hội được Bộ Văn hoá, Thể thao và Du lịch công nhận là Di sản Văn hoá phi vật thể quốc gia.",,10.37,2025-10-25 16:47:14
69,Lễ hội đèn lồng có diễn ra tại TP.HCM không?,"Có, lễ hội đèn lồng được tổ chức tại Thành phố Hồ Chí Minh. Trong lịch sự kiện tháng 1 của thành phố có mục “Lễ hội đèn lồng”, và ở Quận 5 – khu vực có đông người Hoa sinh sống – cũng có các hoạt động đấu giá đèn lồng và các chương trình liên quan như diễu hành, lân sư rồng, ca cổ và trò chơi dân gian.",,8.92,2025-10-25 16:47:23
70,Có sự kiện nào đặc biệt vào ngày Quốc khánh 2/9?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.74,2025-10-25 16:47:32
71,Lễ hội nào thu hút nhiều khách du lịch quốc tế nhất?,"Theo nội dung đã cung cấp, **hội chợ du lịch quốc tế (ITE) tại Thành phố Hồ Chí Minh** là sự kiện duy nhất ở Việt Nam thu hút đông đảo người mua quốc tế, các lãnh đạo cấp cao trong ngành du lịch và khách du lịch quốc tế. Vì vậy, đây là lễ hội (sự kiện) thu hút nhiều khách du lịch quốc tế nhất trong các sự kiện được nhắc tới.",,7.91,2025-10-25 16:47:40
72,Tôi có thể mua đồ handmade trong các hội chợ lễ hội ở đâu?,"Bạn có thể mua các sản phẩm handmade tại các gian hàng được bố trí theo phong cách chợ Việt trong khu vực hội chợ lễ hội. Những gian hàng này thường nằm:

- **Khu gian hàng “chợ Việt”** – nơi trưng bày nhiều vật phẩm, hàng hóa và đặc sản địa phương từ các tỉnh thành trong nước và thành phố.  
- **Hội chợ triển lãm** được tổ chức tại trung tâm thị trấn của huyện (hoặc tại các trung tâm văn hoá như Trung tâm Văn hoá Quận 5 trong các sự kiện lớn).  

Tại những địa điểm này, du khách có thể tự do tham quan và mua sắm các sản phẩm thủ công, đồ handmade và các món quà lưu niệm.",,9.18,2025-10-25 16:47:49
73,Có lễ hội nghệ thuật đường phố nào thường xuyên tổ chức không?,"Có, trong chương trình lễ hội của Thành phố Hồ Chí Minh có các hoạt động **nghệ thuật đường phố (Street Show)** được tổ chức thường niên.  

- **Lễ hội Đón chào Năm mới**: trong khuôn khổ lễ hội này, thành phố tổ chức các chương trình nghệ thuật đường phố trên khắp các tuyến phố trọng điểm, bao gồm cả các buổi biểu diễn, diễu hành và các hoạt động tương tác.  

- **Nghệ thuật đường phố Nguyên tiêu**: vào ngày Nguyên tiêu (đầu năm âm lịch), các đoàn diễu hành trên các tuyến đường lớn của Quận 5 trình diễn trang phục dân tộc, múa lân, rồng, đi cà kheo, biểu diễn võ thuật, xếp hình nghệ thuật… Sự kiện này cũng diễn ra hàng năm.  

Vì vậy, lễ hội nghệ thuật đường phố là một phần thường xuyên, định kỳ của các sự kiện lễ hội tại TP HCM.",,9.3,2025-10-25 16:47:58
74,Những sự kiện âm nhạc lớn trong năm tại TP.HCM là gì?,"Các sự kiện âm nhạc quy mô lớn được tổ chức thường niên tại Thành phố Hồ Chí Minh bao gồm:

| Tháng | Sự kiện | Mô tả ngắn |
|------|----------|------------|
| **Tháng 12** | **Lễ hội Âm nhạc Quốc tế HOZO (HOZO Ho Chi Minh City International Music Festival)** | Sự kiện âm nhạc quốc tế quy mô lớn, quy tụ các nghệ sĩ, ban nhạc trong và ngoài nước, diễn ra trong khuôn khổ Tuần lễ Du lịch TP.HCM. |

Hiện tại trong tài liệu chỉ có **Lễ hội Âm nhạc Quốc tế HOZO** được nêu là sự kiện âm nhạc lớn trong năm tại TP.HCM. Nếu bạn cần thông tin chi tiết hơn (địa điểm, thời gian cụ thể, chương trình biểu diễn...), vui lòng cho mình biết!",,10.55,2025-10-25 16:48:09
75,"Có lễ hội nào dành riêng cho sinh viên, giới trẻ không?",Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,7.62,2025-10-25 16:48:16
76,Lễ hội trung thu ở TP.HCM khác các nơi khác như thế nào?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.74,2025-10-25 16:48:25
77,TP.HCM có tổ chức lễ hội pháo hoa không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,7.84,2025-10-25 16:48:33
78,Lễ hội nào diễn ra ở khu vực phố đi bộ Nguyễn Huệ?,Lễ hội diễn ra trên phố đi bộ Nguyễn Huệ là **Lễ hội Đường hoa Nguyễn Huệ** (còn được gọi là Lễ hội đèn lồng).,,8.12,2025-10-25 16:48:41
79,Có lễ hội nào liên quan đến ẩm thực đường phố không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,9.08,2025-10-25 16:48:50
80,Tôi có thể xem các buổi biểu diễn văn hóa truyền thống ở đâu?,"Bạn có thể đến các địa điểm sau để thưởng thức các buổi biểu diễn văn hoá truyền thống:

1. **Nhà hát Thành phố** – là nơi tổ chức các buổi biểu diễn nghệ thuật lớn, kết hợp giữa truyền thống và hiện đại. Đây là điểm đến không thể bỏ qua cho những ai yêu nghệ thuật.

2. **Trung tâm Văn hoá – Thể thao** – thường xuyên tổ chức các hoạt động văn hoá, lễ hội, câu lạc bộ vui chơi, ca nhạc, biểu diễn nghệ thuật và chiếu phim, đáp ứng nhu cầu thưởng thức văn hoá nghệ thuật của người dân trong quận.

3. **Nhà Hát Múa Rối Nước Thăng Long** (Hà Nội)  
   - Địa chỉ: 57B phố Đinh Tiên Hoàng, Hàng Bạc, Quận Hoàn Kiếm, Hà Nội.  
   - Đây là nơi biểu diễn múa rối nước – di sản phi vật thể nổi tiếng của Việt Nam.

4. **Nhà hát (mở cửa miễn phí hai lần một tháng)** –  
   - Địa chỉ: 515 Trần Hưng Đạo, Phường Cầu Kho, Quận (thường là Quận 1, TP.HCM).  
   - Nhà hát này thường xuyên mở cửa miễn phí để bảo tồn và khôi phục thói quen xem cải lương, đồng thời giới thiệu các hình thức sân khấu truyền thống.

Bạn có thể lựa chọn một trong các địa điểm trên tùy theo vị trí và sở thích của mình để tham gia các buổi biểu diễn văn hoá truyền thống. Chúc bạn có những trải nghiệm thú vị!",,9.88,2025-10-25 16:49:00
81,Làm sao di chuyển từ sân bay Tân Sơn Nhất về trung tâm thành phố?,"Để di chuyển từ sân bay Quốc tế Tân Sơn Nhất (SGN) về trung tâm thành phố (khoảng 7 km), bạn có một vài lựa chọn phổ biến:

1. **Taxi hoặc dịch vụ gọi xe (Grab, Be, …)**  
   - Thuận tiện, đưa bạn đến đúng địa chỉ muốn.  
   - Giá khoảng 150 000 – 200 000 VND (tùy thời gian trong ngày và mức phí cầu đường).  
   - Lưu ý kiểm tra đồng hồ hoặc giá hiển thị trên ứng dụng trước khi khởi hành.

2. **Xe buýt công cộng**  
   - **Tuyến số 152**: chạy từ khu dân cư Trung Sơn (hoặc các bến xe lân cận) đến sân bay Tân Sơn Nhất. Bạn có thể lên xe ở các trạm gần trung tâm và xuống tại bến xe sân bay, sau đó đi bộ hoặc bắt taxi ngắn để vào trung tâm.  
   - Giá vé chỉ khoảng **6 000 – 10 000 VND**.  
   - Ngoài tuyến 152, còn có các tuyến khác như 81, 84, 101… nhưng chúng chủ yếu phục vụ các khu vực khác; nếu muốn đi thẳng về trung tâm, bạn có thể đổi sang các tuyến nội thành tại các bến trung chuyển (ví dụ bến xe Miền Đông).

3. **Xe đưa đón của khách sạn hoặc dịch vụ đưa đón sân bay**  
   - Nhiều khách sạn ở trung tâm cung cấp dịch vụ đưa đón miễn phí hoặc trả phí.  
   - Bạn chỉ cần đặt trước khi đến.

4. **Xe máy/xe đạp thuê** (nếu bạn muốn tự lái)  
   - Khoảng cách ngắn, nhưng lưu ý giao thông đông đúc và việc tìm chỗ đỗ xe.

**Gợi ý nhanh:**  
- Nếu muốn nhanh nhất và không muốn lo lắng về việc đổi xe, hãy chọn **Grab hoặc taxi**.  
- Nếu muốn tiết kiệm chi phí và không ngại chờ, **xe buýt tuyến 152** là lựa chọn hợp lý.  

Chúc bạn có chuyến đi suôn sẻ!",,10.7,2025-10-25 16:49:11
82,Phương tiện công cộng phổ biến ở TP.HCM là gì?,"Phương tiện công cộng phổ biến ở TP.HCM bao gồm:

- **Xe buýt**: Hệ thống xe buýt phủ khắp thành phố với nhiều tuyến khác nhau, vé từ 6.000‑10.000 VND (xe buýt điện 12.000 VND một chiều).  
- **Taxi** và **các dịch vụ công nghệ** (xe ôm, xe hơi đặt qua ứng dụng di động): Giá cước khoảng 13.000 VND/km cho các chuyến ngắn.  
- **Metro**: Tuyến Metro Bến Thành – Suối Tiên (đi qua Quận 1, Bình Thạnh, Thủ Đức và Dĩ An) là tuyến sắt đô thị đầu tiên, giúp di chuyển nhanh chóng và thuận tiện.",,9.08,2025-10-25 16:49:20
83,Tôi có thể thuê xe máy ở đâu tại TP.HCM?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.94,2025-10-25 16:49:29
84,Ứng dụng đặt xe nào phổ biến nhất ở Sài Gòn?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.86,2025-10-25 16:49:37
85,Có tuyến metro nào đang hoạt động ở TP.HCM không?,"Có, TP.HCM đã có tuyến metro đầu tiên đang hoạt động, đó là tuyến Metro **Bến Thành – Suối Tiên**. Tuyến này nối quận 1, quận Bình Thạnh, TP. Thủ Đức và TP. Dĩ An (Bình Dương), giúp việc di chuyển trong thành phố trở nên nhanh chóng và thuận tiện hơn.",,10.19,2025-10-25 16:49:48
86,Thời gian di chuyển từ quận 1 đến quận 7 mất bao lâu?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.81,2025-10-25 16:49:56
87,Có tuyến xe buýt nào chạy qua các điểm du lịch chính không?,"Có, trong hệ thống giao thông công cộng của Hà Nội có các tuyến xe buýt chuyên phục vụ du khách tham quan các điểm du lịch chính.  

- **Xe buýt du lịch 2 tầng “Hop On Hop Off”**:  
  - Xe có sức chứa lên tới 60 hành khách, chạy trên **24 tuyến** và dừng tại **30 điểm tham quan nổi bật** của thành phố (như Khu phố cổ, Nhà thờ lớn, hồ Gươm, …).  
  - Du khách có thể tự do lên xe, xuống xe tại bất kỳ điểm dừng nào, tham quan theo cách riêng của mình.  
  - Xe còn cung cấp bản đồ City Tour, tai nghe thuyết minh đa ngôn ngữ, Wi‑Fi, cổng sạc USB, nước uống và bảo hiểm du lịch.  

- **Mạng lưới xe buýt thường**: Hệ thống xe buýt của thành phố có mạng lưới rộng khắp, bao phủ hầu hết các tuyến đường và đi qua **nhiều địa điểm du lịch** như khu phố cổ, nhà thờ lớn, hồ Gươm, … nên bạn cũng có thể lựa chọn các tuyến công cộng thông thường để di chuyển tới các điểm tham quan.

Vì vậy, nếu muốn di chuyển thuận tiện và thăm quan các địa danh nổi tiếng, bạn có thể sử dụng dịch vụ **Xe buýt du lịch 2 tầng Hop On Hop Off** hoặc các tuyến xe buýt thường trong thành phố.",,10.45,2025-10-25 16:50:07
88,Tôi có thể đi xe đạp quanh trung tâm thành phố không?,"Có, bạn hoàn toàn có thể đi xe đạp quanh trung tâm thành phố Hà Nội. Thời tiết ở Hà Nội thường thuận lợi cho việc đi xe đạp (trừ mùa mưa bão từ tháng 5 đến tháng 9 khi thời tiết có thể khá nóng và ẩm ướt). Giá thuê xe đạp thường dao động từ 50.000 đ đến 100.000 đồng mỗi ngày. Các con phố hẹp trong khu trung tâm cũng rất thích hợp để bạn dạo quanh, ngắm cảnh và khám phá khu phố cổ cũng như các khu vực lân cận. Chỉ cần chú ý lái xe an toàn và tránh những ngày mưa bão là bạn sẽ có một trải nghiệm thú vị.",,9.06,2025-10-25 16:50:16
89,Có dịch vụ xe điện cho khách du lịch không?,"Có, tại Thành phố Hồ Chí Minh bạn có thể sử dụng dịch vụ **xe buýt điện** (xe buýt 14 chỗ) để di chuyển. Giá vé một chiều cho xe buýt điện là 12.000 VND. Đây là một lựa chọn thân thiện môi trường và phù hợp cho khách du lịch muốn khám phá thành phố bằng phương tiện công cộng.",,8.85,2025-10-25 16:50:25
90,Có taxi nào hoạt động 24/7 tại TP.HCM?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.95,2025-10-25 16:50:34
91,Di chuyển bằng Grab ở TP.HCM có an toàn không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.71,2025-10-25 16:50:42
92,Tôi có thể mua vé xe buýt bằng ứng dụng không?,"Có, bạn có thể sử dụng ứng dụng Go!Bus để theo dõi, chọn và mua vé xe buýt một cách tiện lợi. Ứng dụng này hỗ trợ việc đặt vé trực tuyến, giúp bạn không cần phải mua vé trực tiếp tại bến xe.",,8.91,2025-10-25 16:50:51
93,Có chỗ nào cho thuê ô tô tự lái tại TP.HCM không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.58,2025-10-25 16:51:00
94,Đường phố TP.HCM có hay bị kẹt xe không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,7.82,2025-10-25 16:51:08
95,Tôi nên tránh khung giờ nào để không bị tắc đường?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.74,2025-10-25 16:51:17
96,Có bến xe nào lớn để đi các tỉnh miền Tây không?,"Hiện tại, ở Hà Nội có 4 bến xe lớn là **Mỹ Đình, Giáp Bát, Nước Ngầm và Gia Lâm**. Những bến xe này là các trung tâm chính để bạn lựa chọn khi muốn di chuyển đến các tỉnh miền Tây (cũng như các tỉnh khác). Bạn nên chọn bến xe gần nơi lưu trú nhất để thuận tiện nhất.",,10.09,2025-10-25 16:51:27
97,Làm sao để di chuyển từ TP.HCM đi Vũng Tàu nhanh nhất?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,11.0,2025-10-25 16:51:38
98,Có dịch vụ bus đêm trong thành phố không?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,8.8,2025-10-25 16:51:46
99,Tôi có thể đi thuyền trên sông Sài Gòn không?,"Có, bạn có thể đi thuyền trên sông Sài Gòn thông qua dịch vụ Waterbus (đường thủy). Waterbus cung cấp các chuyến vận chuyển dọc theo sông với các bến chính như:

- Bến Bạch Đằng (trung tâm)
- Bến Bình An
- Bến Thanh Đa
- Bến Bình Chánh (giữa)
- Bến Bình Đông (cuối tuyến)

**Giờ hoạt động**
- Ngày thường: 17:00 – 21:00  
- Thứ Bảy, Chủ Nhật và ngày lễ: 16:00 – 22:00  

Bạn có thể mua vé ngày (40.000 VNĐ) hoặc vé một chiều (10.000 VNĐ). Đây là một cách thú vị để ngắm cảnh thành phố và trải nghiệm không gian trên sông. Chúc bạn có chuyến đi vui vẻ!",,9.11,2025-10-25 16:51:56
100,Giao thông ở TP.HCM khác gì so với Hà Nội?,Hiện tại tôi không thể trả lời câu hỏi của bạn vì tôi thiếu thông tin về dữ liệu đó.,,9.11,2025-10-25 16:52:05
